Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Comic 홈,Chrome 132.0.6834.160,,,11-02-2025 12:21:23,11-02-2025 12:24:10,2m - 47.220s,FAILED
,,,,,,,
Test Cases/서브탭 확인/New 서브탭 - 로그인 경우 추가필요,Chrome 132.0.6834.160,,,11-02-2025 12:21:23,11-02-2025 12:21:51,28.318s,FAILED
"openBrowser("""")",Chrome 132.0.6834.160,,,11-02-2025 12:21:23,11-02-2025 12:21:25,2.030s,PASSED
"navigateToUrl(""https://qa.tapas.io/"")",Chrome 132.0.6834.160,,,11-02-2025 12:21:25,11-02-2025 12:21:27,1.522s,PASSED
"click(findTestObject(""Object Repository/서브탭/New 서브탭/Page_Home  Spotlight/div_Publish_absolute left-0 top-0 size-full_9e46ba""))",Chrome 132.0.6834.160,,,11-02-2025 12:21:27,11-02-2025 12:21:29,2.151s,PASSED
"click(findTestObject(""Object Repository/서브탭/New 서브탭/Page_Home  New/a_Novels""))",Chrome 132.0.6834.160,,,11-02-2025 12:21:29,11-02-2025 12:21:30,1.233s,PASSED
"NewNovel = findTestObject(""서브탭/New 서브탭/Page_Home  New/h2_No results were found"")",Chrome 132.0.6834.160,,,11-02-2025 12:21:30,11-02-2025 12:21:30,0.015s,PASSED
HighlightElement.run(NewNovel),Chrome 132.0.6834.160,,,11-02-2025 12:21:30,11-02-2025 12:21:51,21.262s,FAILED
,,,,,,,
Test Cases/서브탭 확인/Popular 서브탭,Chrome 132.0.6834.160,,,11-02-2025 12:21:51,11-02-2025 12:22:59,1m - 8.091s,FAILED
"comment(""✅ New 서브탭 실행"")",Chrome 132.0.6834.160,,,11-02-2025 12:21:51,11-02-2025 12:21:51,0.006s,PASSED
"click(findTestObject(""Object Repository/서브탭/Popular 서브탭/Page_Home  Spotlight/div_Publish_absolute left-0 top-0 size-full_9e46ba""))",Chrome 132.0.6834.160,,,11-02-2025 12:21:51,11-02-2025 12:21:52,0.264s,PASSED
"for ([i = 0, i < 11, (i++)])",Chrome 132.0.6834.160,,,11-02-2025 12:21:52,11-02-2025 12:22:14,22.240s,PASSED
"rank300 = findTestObject(""서브탭/Popular 서브탭/Page_Home  Popular/div_300"")",Chrome 132.0.6834.160,,,11-02-2025 12:22:14,11-02-2025 12:22:14,0.007s,PASSED
HighlightElement.run(rank300),Chrome 132.0.6834.160,,,11-02-2025 12:22:14,11-02-2025 12:22:16,2.320s,PASSED
"verifyElementPresent(rank300, 0)",Chrome 132.0.6834.160,,,11-02-2025 12:22:16,11-02-2025 12:22:17,0.248s,PASSED
"click(findTestObject(""Object Repository/서브탭/Popular 서브탭/Page_Home  Popular/a_Novels""))",Chrome 132.0.6834.160,,,11-02-2025 12:22:17,11-02-2025 12:22:59,42.955s,FAILED
,,,,,,,
Test Cases/서브탭 확인/Comic_All Comic,Chrome 132.0.6834.160,,,11-02-2025 12:22:59,11-02-2025 12:23:22,22.196s,PASSED
"comment(""✅ All comic 서브탭 실행"")",Chrome 132.0.6834.160,,,11-02-2025 12:23:00,11-02-2025 12:23:00,0.001s,PASSED
"click(findTestObject(""Object Repository/서브탭/Comic_Spotlight/Page_Home  Spotlight/span_Comics""))",Chrome 132.0.6834.160,,,11-02-2025 12:23:00,11-02-2025 12:23:00,0.275s,PASSED
"click(findTestObject(""Object Repository/서브탭/Comic_All Comic/Page_Comics  Spotlight/div_Publish_absolute left-0 top-0 size-full rounded-16 border-1 border-transparent20""))",Chrome 132.0.6834.160,,,11-02-2025 12:23:00,11-02-2025 12:23:01,1.281s,PASSED
"genrefilter = findTestObject(""서브탭/Comic_All Comic/Page_Comics  All Genres/a_Action Fantasy"")",Chrome 132.0.6834.160,,,11-02-2025 12:23:01,11-02-2025 12:23:01,0.004s,PASSED
HighlightElement.run(genrefilter),Chrome 132.0.6834.160,,,11-02-2025 12:23:01,11-02-2025 12:23:04,3.239s,PASSED
"verifyElementPresent(genrefilter, 0)",Chrome 132.0.6834.160,,,11-02-2025 12:23:04,11-02-2025 12:23:05,0.246s,PASSED
"click(findTestObject(""Object Repository/서브탭/Comic_All Comic/Page_Comics  All Genres/a_Action Fantasy""))",Chrome 132.0.6834.160,,,11-02-2025 12:23:05,11-02-2025 12:23:05,0.311s,PASSED
"filter = findTestObject(""서브탭/Comic_All Comic/Page_Comics  All Genres/img_Fantasy_block"")",Chrome 132.0.6834.160,,,11-02-2025 12:23:05,11-02-2025 12:23:05,0.003s,PASSED
HighlightElement.run(filter),Chrome 132.0.6834.160,,,11-02-2025 12:23:05,11-02-2025 12:23:08,3.287s,PASSED
"verifyElementPresent(filter, 0)",Chrome 132.0.6834.160,,,11-02-2025 12:23:08,11-02-2025 12:23:08,0.239s,PASSED
"click(findTestObject(""Object Repository/서브탭/Comic_All Comic/Page_Comics  All Genres/img_Fantasy_block""))",Chrome 132.0.6834.160,,,11-02-2025 12:23:08,11-02-2025 12:23:09,0.286s,PASSED
"epfilter = findTestObject(""서브탭/Comic_All Comic/Page_Comics  All Genres/span_Newest episode"")",Chrome 132.0.6834.160,,,11-02-2025 12:23:09,11-02-2025 12:23:09,0.006s,PASSED
HighlightElement.run(epfilter),Chrome 132.0.6834.160,,,11-02-2025 12:23:09,11-02-2025 12:23:11,2.495s,PASSED
"verifyElementPresent(epfilter, 0)",Chrome 132.0.6834.160,,,11-02-2025 12:23:11,11-02-2025 12:23:11,0.240s,PASSED
