Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC1,Chrome 139.0.7258.138,,,22-08-2025 16:36:40,22-08-2025 16:38:44,2m - 3.547s,PASSED
,,,,,,,
Start listener action : beforeSuite,Chrome 139.0.7258.138,,,22-08-2025 16:36:40,22-08-2025 16:36:43,2.510s,ERROR
,,,,,,,
Test Cases/Prod환경/00.메인홈/01.로그인/01.자동 로그인 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 16:36:43,22-08-2025 16:36:47,3.600s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:36:43,22-08-2025 16:36:43,0.029s,PASSED
"url = ""https://tapas.io/account/signin?from=/""",Chrome 139.0.7258.138,,,22-08-2025 16:36:43,22-08-2025 16:36:43,0.000s,PASSED
"cookieFilePath = ""cookies.save""",Chrome 139.0.7258.138,,,22-08-2025 16:36:43,22-08-2025 16:36:43,0.000s,PASSED
driver = getWebDriver(),Chrome 139.0.7258.138,,,22-08-2025 16:36:43,22-08-2025 16:36:43,0.001s,PASSED
cookieFile = new java.io.File(cookieFilePath),Chrome 139.0.7258.138,,,22-08-2025 16:36:43,22-08-2025 16:36:43,0.000s,PASSED
if (cookieFile.exists()),Chrome 139.0.7258.138,,,22-08-2025 16:36:43,22-08-2025 16:36:44,1.024s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 16:36:44,22-08-2025 16:36:46,2.004s,PASSED
maximizeWindow(),Chrome 139.0.7258.138,,,22-08-2025 16:36:46,22-08-2025 16:36:47,0.411s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:36:47,22-08-2025 16:36:47,0.002s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/02.검색 결과 없음 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 16:36:47,22-08-2025 16:36:52,5.593s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:36:47,22-08-2025 16:36:47,0.001s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""비비비비비비비비비비"")",Chrome 139.0.7258.138,,,22-08-2025 16:36:47,22-08-2025 16:36:47,0.549s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 16:36:47,22-08-2025 16:36:47,0.247s,PASSED
"verifyElementPresent(findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음""), 0)",Chrome 139.0.7258.138,,,22-08-2025 16:36:47,22-08-2025 16:36:51,3.296s,PASSED
"nolist = findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음"")",Chrome 139.0.7258.138,,,22-08-2025 16:36:51,22-08-2025 16:36:51,0.002s,PASSED
HighlightElement.run(nolist),Chrome 139.0.7258.138,,,22-08-2025 16:36:51,22-08-2025 16:36:52,1.242s,PASSED
"verifyElementPresent(nolist, 0)",Chrome 139.0.7258.138,,,22-08-2025 16:36:52,22-08-2025 16:36:52,0.220s,PASSED
